symbol1,symbol2
AMPH,SYNJ1
SH3GL1,SYNJ1
ITSN1,SYNJ1
SH3GL2,SYNJ1
AP2M1,SYNJ1
SH3KBP1,SYNJ1
AP2A1,SYNJ1
GRB2,SYNJ1
PACSIN3,SYNJ1
FNBP4,SYNJ1
TNK2,SYNJ1
CD2BP2,SYNJ1
PACSIN1,SYNJ1
PACSIN2,SYNJ1
UNK,SYNJ1
SH3GLB1,SYNJ1
SMAP2,SYNJ1
SH3BP1,SYNJ1
AMPH,DNM1
SH3GL1,DNM1
DNM2,DNM1
EPS15,DNM1
ABL1,DNM1
PIK3R1,DNM1
HTT,DNM1
CAV1,DNM1
SH3KBP1,DNM1
PACSIN3,DNM1
SNX9,DNM1
TIMM50,DNM1
RACK1,DNM1
DYRK1A,DNM1
CEP126,DNM1
SH3GL3,DNM1
PLCG1,DNM1
DNM1,DNM1
MED31,DNM1
PIN4,DNM1
ASB13,DNM1
MOB4,DNM1
PACSIN1,DNM1
PACSIN2,DNM1
PRKCA,DNM1
PTK2,DNM1
GRIN1,DNM1
GRIN2D,DNM1
SNX33,DNM1
CLIC4,DNM1
SH3BP4,DNM1
FNBP1,DNM1
CDK5,DNM1
NOSTRIN,DNM1
UBASH3A,DNM1
MYO1E,DNM1
DRD2,DNM1
DNMBP,DNM1
NOS3,DNM1
CABIN1,DNM1
CLINT1,DNM1
MAP3K10,DNM1
AP2A2,DNM1
FER,DNM1
SPG11,DNM1
ADAM2,DNM1
CLIC3,DNM1
AMPH,DNM2
DNM2,DNM2
EPS15,DNM2
ABL1,DNM2
ITSN1,DNM2
SH3GL2,DNM2
KAT5,DNM2
SMN1,DNM2
SMN2,DNM2
CD2AP,DNM2
TRIP10,DNM2
MAP3K5,DNM2
HCK,DNM2
VAV1,DNM2
GRB2,DNM2
PACSIN3,DNM2
ITSN2,DNM2
SORBS1,DNM2
KDR,DNM2
DDX39B,DNM2
CCT7,DNM2
PPIB,DNM2
RASSF1,DNM2
EIF3L,DNM2
RHOU,DNM2
DNALI1,DNM2
CRK,DNM2
WBP4,DNM2
PIWIL1,DNM2
TRAF4,DNM2
ZBTB16,DNM2
CCDC90B,DNM2
FNBP1L,DNM2
SMARCB1,DNM2
BIN1,DNM2
RPS2,DNM2
RWDD2B,DNM2
ZFAND6,DNM2
PEF1,DNM2
ITGA4,DNM2
PACSIN1,DNM2
PACSIN2,DNM2
APPL1,DNM2
PTK2,DNM2
CTTN,DNM2
DYNC1I1,DNM2
OCLN,DNM2
SNX33,DNM2
CBX1,DNM2
MRFAP1,DNM2
RAB7A,DNM2
TXN,DNM2
MYC,DNM2
AHI1,DNM2
CLPP,DNM2
PSTPIP1,DNM2
SNX2,DNM2
FNBP1,DNM2
TYK2,DNM2
UBASH3A,DNM2
MYO1E,DNM2
EVL,DNM2
DRD2,DNM2
PALS2,DNM2
SPRED2,DNM2
SH3GLB1,DNM2
NAP1L3,DNM2
TIAM2,DNM2
BOK,DNM2
MAN1B1,DNM2
FER,DNM2
VSX2,DNM2
SNX18,DNM2
STX19,DNM2
KCNN3,DNM2
PDE6G,DNM2
FBXL4,DNM2
FCHSD1,DNM2
AMPH,MAPK6
CALR,MAPK6
ITSN1,MAPK6
MAP3K7,MAPK6
SHC1,MAPK6
